date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:00	38163/38163	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:43%20GMT	https://demo.dashboardpack.com/marketing-html/themefy_icon.html	F:/nova/template/demo.dashboardpack.com/marketing-html/themefy_icon.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:00	1162/1162	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba3e-48a%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/6.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/6.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:00	22269/22269	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:54:58%20GMT	https://demo.dashboardpack.com/marketing-html/wow_animation.html	F:/nova/template/demo.dashboardpack.com/marketing-html/wow_animation.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:00	21841/21841	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:32%20GMT	https://demo.dashboardpack.com/marketing-html/Scroll_Reveal.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Scroll_Reveal.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:01	21573/21573	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:43%20GMT	https://demo.dashboardpack.com/marketing-html/tilt.html	F:/nova/template/demo.dashboardpack.com/marketing-html/tilt.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:01	1696/1696	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba3e-6a0%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/7.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/7.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:56:01	37623/37623	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:31%20GMT	https://demo.dashboardpack.com/marketing-html/accordion.html	F:/nova/template/demo.dashboardpack.com/marketing-html/accordion.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:01	38265/38265	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:32%20GMT	https://demo.dashboardpack.com/marketing-html/Scrollable.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Scrollable.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:01	18410/18410	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:31%20GMT	https://demo.dashboardpack.com/marketing-html/notification.html	F:/nova/template/demo.dashboardpack.com/marketing-html/notification.html	(from https://demo.dashboardpack.com/marketing-html/)
09:56:02	20164/20164	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:34%20GMT	https://demo.dashboardpack.com/marketing-html/carousel.html	F:/nova/template/demo.dashboardpack.com/marketing-html/carousel.html	(from https://demo.dashboardpack.com/marketing-html/)
